report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text
ocr_4,,1,Terra sigillata plate,Dragendorff 18/31,Drag. 18/31,Terra sigillata plate,,70,200,typology,present,8,name from typology code,10,classified present,8,dated from typology code (only as certain as the identification),9,"Nadat er ongeveer 80 cm. grond van de bovenzijde van het betrokken
terrein waren verwijderd, werden de volgende romeinse voorwerpen
gevonden.
1. Een bronzen as-munt uit de romeinse keizertijd.
2. Een terra sigillata schaaltje in fragment type Drag. 18/31, met de
pottenbakkersstempel: COSI. RVTIN.
3. Een terra sigillata bodemfragment waarop aan de buitenzijde inge-krast:
KOVIN.
4. Een terra sigillata schaal in fragment type Drag. 32.
5. Een terra sigillata kom in fragment type Drag. 45.
6. Drie versierde terra sigillata fragmenten Drag. 29 en 37, met eier-lijst, planten en dieren.
7. Een ijzeren voorwerp.
8. Een geverniste beker met schubbenversiering in fragment met een
diameter van 15 cm.
9. Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk."
ocr_4,,1,Terra sigillata plate,Dragendorff 32,Drag. 32,Terra sigillata plate,,150,300,typology,present,8,name from typology code,10,classified present,8,dated from typology code (only as certain as the identification),9,"Nadat er ongeveer 80 cm. grond van de bovenzijde van het betrokken
terrein waren verwijderd, werden de volgende romeinse voorwerpen
gevonden.
1. Een bronzen as-munt uit de romeinse keizertijd.
2. Een terra sigillata schaaltje in fragment type Drag. 18/31, met de
pottenbakkersstempel: COSI. RVTIN.
3. Een terra sigillata bodemfragment waarop aan de buitenzijde inge-krast:
KOVIN.
4. Een terra sigillata schaal in fragment type Drag. 32.
5. Een terra sigillata kom in fragment type Drag. 45.
6. Drie versierde terra sigillata fragmenten Drag. 29 en 37, met eier-lijst, planten en dieren.
7. Een ijzeren voorwerp.
8. Een geverniste beker met schubbenversiering in fragment met een
diameter van 15 cm.
9. Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk."
ocr_4,,1,Terra sigillata mortarium,Dragendorff 45,Drag. 45,Terra sigillata mortarium,,150,260,typology,present,8,name from typology code,10,classified present,8,dated from typology code (only as certain as the identification),9,"Nadat er ongeveer 80 cm. grond van de bovenzijde van het betrokken
terrein waren verwijderd, werden de volgende romeinse voorwerpen
gevonden.
1. Een bronzen as-munt uit de romeinse keizertijd.
2. Een terra sigillata schaaltje in fragment type Drag. 18/31, met de
pottenbakkersstempel: COSI. RVTIN.
3. Een terra sigillata bodemfragment waarop aan de buitenzijde inge-krast:
KOVIN.
4. Een terra sigillata schaal in fragment type Drag. 32.
5. Een terra sigillata kom in fragment type Drag. 45.
6. Drie versierde terra sigillata fragmenten Drag. 29 en 37, met eier-lijst, planten en dieren.
7. Een ijzeren voorwerp.
8. Een geverniste beker met schubbenversiering in fragment met een
diameter van 15 cm.
9. Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk."
ocr_4,,1,Terra sigillata decorated bowl,Dragendorff 29,Drag. 29,Terra sigillata decorated bowl,,15,100,typology,present,8,name from typology code,10,classified present,8,dated from typology code (only as certain as the identification),9,"Nadat er ongeveer 80 cm. grond van de bovenzijde van het betrokken
terrein waren verwijderd, werden de volgende romeinse voorwerpen
gevonden.
1. Een bronzen as-munt uit de romeinse keizertijd.
2. Een terra sigillata schaaltje in fragment type Drag. 18/31, met de
pottenbakkersstempel: COSI. RVTIN.
3. Een terra sigillata bodemfragment waarop aan de buitenzijde inge-krast:
KOVIN.
4. Een terra sigillata schaal in fragment type Drag. 32.
5. Een terra sigillata kom in fragment type Drag. 45.
6. Drie versierde terra sigillata fragmenten Drag. 29 en 37, met eier-lijst, planten en dieren.
7. Een ijzeren voorwerp.
8. Een geverniste beker met schubbenversiering in fragment met een
diameter van 15 cm.
9. Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk."
ocr_4,,1,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,Terra sigillata decorated bowl,,70,300,typology,present,8,name from typology code,10,classified present,8,dated from typology code (only as certain as the identification),9,"Nadat er ongeveer 80 cm. grond van de bovenzijde van het betrokken
terrein waren verwijderd, werden de volgende romeinse voorwerpen
gevonden.
1. Een bronzen as-munt uit de romeinse keizertijd.
2. Een terra sigillata schaaltje in fragment type Drag. 18/31, met de
pottenbakkersstempel: COSI. RVTIN.
3. Een terra sigillata bodemfragment waarop aan de buitenzijde inge-krast:
KOVIN.
4. Een terra sigillata schaal in fragment type Drag. 32.
5. Een terra sigillata kom in fragment type Drag. 45.
6. Drie versierde terra sigillata fragmenten Drag. 29 en 37, met eier-lijst, planten en dieren.
7. Een ijzeren voorwerp.
8. Een geverniste beker met schubbenversiering in fragment met een
diameter van 15 cm.
9. Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk."
ocr_4,,1,Terra sigillata,,terra sigillata,Terra sigillata,,-12,450,chron_vocab,uncertain,6,name from ware match,3,classified uncertain,8,named dated period/ware,6,"2. Een terra sigillata schaaltje in fragment type Drag. 18/31, met de"
ocr_4,,1,Dish,,schaaltje,Dish,,-12,450,chron_vocab,uncertain,6,name from ware match,3,classified uncertain,8,named dated period/ware,6,"2. Een terra sigillata schaaltje in fragment type Drag. 18/31, met de"
ocr_4,,1,Terra sigillata,,terra sigillata,Terra sigillata,,-12,450,chron_vocab,uncertain,6,name from ware match,3,classified uncertain,8,named dated period/ware,6,3. Een terra sigillata bodemfragment waarop aan de buitenzijde inge-krast:
ocr_4,,1,Terra sigillata,,terra sigillata,Terra sigillata,,-12,450,chron_vocab,uncertain,6,name from ware match,3,classified uncertain,8,named dated period/ware,6,4. Een terra sigillata schaal in fragment type Drag. 32.
ocr_4,,1,Bowl,,schaal,Bowl,,-12,450,chron_vocab,uncertain,6,name from ware match,3,classified uncertain,8,named dated period/ware,6,4. Een terra sigillata schaal in fragment type Drag. 32.
ocr_4,,1,Terra sigillata,,terra sigillata,Terra sigillata,,-12,450,chron_vocab,uncertain,6,name from ware match,3,classified uncertain,8,named dated period/ware,6,5. Een terra sigillata kom in fragment type Drag. 45.
ocr_4,,1,Terra sigillata,,terra sigillata,Terra sigillata,,-12,450,chron_vocab,uncertain,6,name from ware match,3,classified uncertain,8,named dated period/ware,6,"6. Drie versierde terra sigillata fragmenten Drag. 29 en 37, met eier-lijst, planten en dieren."
ocr_4,,1,Pottery,,aardewerk,Pottery,,-12,450,chron_vocab,uncertain,6,name from ware match,3,classified uncertain,8,named dated period/ware,6,9. Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk.
ocr_4,,1,Terra sigillata,,terra sigillata,Terra sigillata,,-12,450,chron_vocab,uncertain,6,name from ware match,3,classified uncertain,8,named dated period/ware,6,9. Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk.
ocr_4,,1,Indigenous pottery,,inheems aardewerk,Indigenous pottery,,-12,450,chron_vocab,uncertain,6,name from ware match,3,classified uncertain,8,named dated period/ware,6,9. Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk.
ocr_4,,1,Beaker,,beker,Beaker,,,,,uncertain,6,name from ware match,3,classified uncertain,0,no date stated,3,8. Een geverniste beker met schubbenversiering in fragment met een
