report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text,std_vocabulary,std_ware_code,std_ware_label,std_form_code,std_form_label,std_combined_code,std_combined_label
12732,Heerlen,1,Pot,,pot met een vreemdsoortige uitschenktuit,Pot,1,151,200,claude_text,present,8,Named as 'pot' with a pouring spout in the text.,9,"Explicitly found in afvalkuil, inv. nrs 7818-7833.",8,date read from the passage,8,"een pot met een vreemdsoortige uitschenktuit, beide van typen die tot nu toe nog nooit uit de Heerlense bodem te voorschijn waren gekomen",,,,,,,
12732,Heerlen,1,Terra sigillata cup,Dragendorff 33,terra sigillata waaronder een bodemstempel VIRTVS F van een bekertje type Dragendorff 33,Terra sigillata cup,,40,300,claude+typology,present,10,Explicitly named as terra sigillata type Dragendorff 33 with potter's stamp.,9,"Explicitly found in afvalkuilen, inv. nrs 7834-7859.",10,dated from typology code (only as certain as the identification),10,enige fragmenten van terra sigillata waaronder een bodemstempel VIRTVS F van een bekertje type Dragendorff 33 van de pottenbakker Virtus uit La Madeleine,ABR,TS,terra sigillata,KOM.KOM,kom,TSKOM.DR33,Terra sigillata kom - Dragendorff 33
12732,Heerlen,1,Hunt cup,,jachtbekers,Hunt cup,,-12,450,claude_text,present,8,Named as 'jachtbekers' (hunt cups) in the text.,9,"Explicitly found in afvalkuilen, inv. nrs 7834-7859.",8,date read from the passage,8,"een aantal fragmenten van zgn. jachtbekers, borden, kruiken, bekertjes, deksels en wrijfschalen",ABR,,,KOP,kop,,
12732,Heerlen,1,Plate,,borden,Plate,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in afvalkuilen, inv. nrs 7834-7859.",8,date read from the passage,6,"een aantal fragmenten van zgn. jachtbekers, borden, kruiken, bekertjes, deksels en wrijfschalen",ABR,,,BORD,bord,,
12732,Heerlen,1,Jug,,kruiken,Jug,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in afvalkuilen, inv. nrs 7834-7859.",8,date read from the passage,6,"een aantal fragmenten van zgn. jachtbekers, borden, kruiken, bekertjes, deksels en wrijfschalen",ABR,,,MKKRUIK,kruik,,
12732,Heerlen,1,Beaker,,bekertjes,Beaker,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in afvalkuilen, inv. nrs 7834-7859.",8,date read from the passage,6,"een aantal fragmenten van zgn. jachtbekers, borden, kruiken, bekertjes, deksels en wrijfschalen",ABR,,,BEKER,beker,,
12732,Heerlen,1,Lid,,deksels,Lid,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in afvalkuilen, inv. nrs 7834-7859.",8,date read from the passage,6,"een aantal fragmenten van zgn. jachtbekers, borden, kruiken, bekertjes, deksels en wrijfschalen, waaronder een deksel",ABR,,,DEKSEL,deksel,,
12732,Heerlen,1,Mortarium,,wrijfschalen,Mortarium,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in afvalkuilen, inv. nrs 7834-7859.",8,date read from the passage,6,"een aantal fragmenten van zgn. jachtbekers, borden, kruiken, bekertjes, deksels en wrijfschalen, waaronder een deksel en een wrijfschaaltje van typen die eveneens tot nu toe uit Heerlen onbekend waren",ABR,WRIJFSCHAAL,wrijfschaal aardewerk,TSWRIJF,wrijfschaal,WRIJFSCH,"wrijfschaal, dikwandig aardew."
12732,Heerlen,1,Mortarium,,wrijfschaaltje,Mortarium,1,-12,450,claude_text,present,8,Named as 'wrijfschaaltje' (diminutive of wrijfschaal = mortarium) in the text.,9,"Explicitly found in afvalkuilen, inv. nrs 7834-7859.",8,date read from the passage,8,een deksel en een wrijfschaaltje van typen die eveneens tot nu toe uit Heerlen onbekend waren,ABR,WRIJFSCHAAL,wrijfschaal aardewerk,TSWRIJF,wrijfschaal,WRIJFSCH,"wrijfschaal, dikwandig aardew."
12732,Heerlen,2,Mortarium,,wrijfschalen,Mortarium,,151,250,claude_text,present,8,Named as 'wrijfschalen' used as arch supports in the kiln.,9,Explicitly found as structural elements of the kiln arches.,8,date read from the passage,8,Drie ervan bestonden uit schuin op elkaar geplaatste wrijfschalen waartussen leemvulling en een enkel potscherfje met dekselgeul,ABR,WRIJFSCHAAL,wrijfschaal aardewerk,TSWRIJF,wrijfschaal,WRIJFSCH,"wrijfschaal, dikwandig aardew."
