report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text
new_rep_1,GasUnie trench,1,Painted beaker,,geverfde beker bestrooid met kleikorreltjes,Painted beaker,1,101,200,claude_text,present,9,Explicitly described as a painted beaker with clay granules.,10,Explicitly found in feature S3.,8,date read from the passage,9,een stuk van een geverfde beker bestrooid met kleikorreltjes. Deze beker heeft een wit baksel met een zwarte verflaag. Het bekerfragment is in de 2e eeuw te dateren.
new_rep_1,GasUnie trench,1,Gallic wine amphora,Gauloise 4,wijnamfoor Gauloise 4,Gallic wine amphora,1,75,300,claude+typology,present,9,Explicitly named as Gauloise 4 wine amphora.,10,Explicitly found in feature S3.,9,dated from typology code (only as certain as the identification),9,Een tweede herkenbaar fragment is afkomstig van een wijnamfoor Gauloise 4.7
new_rep_1,GasUnie trench,1,Red coarse ware,,rode ruwwandige fragmenten,Red coarse ware,2,,,claude,present,8,Described as red coarse-walled fragments.,10,Explicitly found in the described features.,0,no date stated,6,Twee rode ruwwandige fragmenten en een sterk verweerd wit gladwandig fragment kunnen niet nader geduid worden.
new_rep_1,GasUnie trench,1,White smooth-walled ware,,wit gladwandig fragment,White smooth-walled ware,1,,,claude,present,8,Described as a white smooth-walled fragment.,10,Explicitly found in the described features.,0,no date stated,6,een sterk verweerd wit gladwandig fragment kunnen niet nader geduid worden
new_rep_1,GasUnie trench,1,Dolium,,rand van een groot bolrond voorraadvat (dolium),Dolium,1,,,claude,present,9,Explicitly identified as a dolium storage vessel.,10,Explicitly found in feature S5.,0,no date stated,6,respectievelijk een rand van een groot bolrond voorraadvat (dolium)
new_rep_1,GasUnie trench,1,Olive oil amphora,,fragment van een olijfolieamfoor,Olive oil amphora,1,,,claude,present,9,Explicitly identified as an olive oil amphora fragment.,10,Explicitly found in feature S6.,0,no date stated,6,een fragment van een olijfolieamfoor aangetroffen
new_rep_1,GasUnie trench,1,Baetican olive oil amphora,Dressel 20,olijfolieamfoor Dressel 20,Baetican olive oil amphora,1,-10,260,claude+typology,present,10,Explicitly named as Dressel 20 olive oil amphora.,10,Explicitly found in feature S8.,10,dated from typology code (only as certain as the identification),10,een oor van een olijfolieamfoor Dressel 20
new_rep_1,GasUnie trench,1,Mortarium,Brunsting 37,wrijfschaal met verticale rand,Mortarium,1,70,200,claude+typology,present,9,"Identified as a mortarium with vertical rim, typology Brunsting 37 from caption on p2.",10,Explicitly found in feature S8.,9,dated from typology code (only as certain as the identification),9,de rand van een wrijfschaal met verticale rand die vanaf 160 is te dateren (afb. 4.6.10)
new_rep_1,GasUnie trench,1,Dolium,,wandfragment van een dolium versierd met gladde ribbels,Dolium,1,,,claude,present,9,Explicitly identified as a dolium wall fragment with smooth ribs.,10,Explicitly found in upper layer S3000.,0,no date stated,6,een wandfragment van een dolium versierd met gladde ribbels
new_rep_1,GasUnie trench,1,Mortarium,,rand van een wrijfschaal met horizontale rand,Mortarium,1,101,450,context_clamp,present,9,Explicitly identified as a mortarium with horizontal rim.,10,Explicitly found in upper layer S3000.,3,missing endpoint clamped to the Roman period,7,een rand van een wrijfschaal met horizontale rand uit de 2e eeuw of later
new_rep_1,GasUnie trench,1,Pottery,,verploegd en niet herkenbaar fragment aardewerk,Pottery,1,,,claude,present,2,"Described as a ploughed and unrecognizable pottery fragment, no type identifiable.",10,Explicitly found in upper layer S3000.,0,no date stated,4,een verploegd en niet herkenbaar fragment aardewerk
